task,model,prec,rec,F1
ds11,mc.mars_SMOTET,0.3951580197845512,0.4855864460973175,0.4353086847598446
ds11,mc.mars_SMOTETPhi,0.39293984472077226,0.4717432122748972,0.4283525963989827
ds11,mc.rf,0.40730923094547367,0.3816213802064135,0.3670690342531948
ds11,mc.rf_UNDERB,0.4569384057116356,0.4220589450132759,0.4340246126075817
ds11,mc.rf_UNDERT,0.45852131401291446,0.42444213387922963,0.43594549450218506
ds11,mc.rf_UNDERTPhi,0.44888693263681406,0.42534575025358967,0.43363096077953306
ds11,mc.rf_OVERB,0.4365226329044047,0.39649413412920703,0.4113689345044025
ds11,mc.rf_OVERT,0.4287425404370346,0.3925440208348291,0.40269421113051324
ds11,mc.rf_OVERTPhi,0.43321492878850365,0.3905014824367249,0.4056978589108587
ds11,mc.rf_SMOTEB,0.446106604031272,0.43143780992291897,0.4362434039542011
ds11,mc.rf_SMOTET,0.4165095702884617,0.4347261909651964,0.4238770735920604
ds11,mc.rf_SMOTETPhi,0.4114515816183137,0.4378450917070644,0.4233954105140621
ds11,mc.rpart,0.45649886678280155,0.3888358482249325,0.41768713625123427
ds11,mc.rpart_UNDERB,0.4005813260799376,0.42911003999169145,0.4135574852041903
ds11,mc.rpart_UNDERT,0.39611579543671666,0.42757529986659504,0.4103239694787748
ds11,mc.rpart_UNDERTPhi,0.3881114425133971,0.42173458136745623,0.4033081725635623
ds11,mc.rpart_OVERB,0.3607257646307037,0.40298479919755686,0.38028119203092653
ds11,mc.rpart_OVERT,0.3682711970121836,0.4039875834684768,0.38462875630435456
ds11,mc.rpart_OVERTPhi,0.36771706726248765,0.4012488247696288,0.38299653392995153
ds11,mc.rpart_SMOTEB,0.3604898245750246,0.43242904768839446,0.3925340105627666
ds11,mc.rpart_SMOTET,0.35588412884956844,0.4325546196172861,0.3897801268470416
ds11,mc.rpart_SMOTETPhi,0.3556428967870695,0.4361458589582427,0.3911574544325475
ds11,mc.arima,0.32389234729564526,0.3892208135816974,0.2844903433036419
ds11,mc.BDES,0.2852782780420047,0.38680148456201524,0.25650742782192626
ds12,mc.lm,0.39276449025148324,0.5073149123299688,0.4286299799447192
ds12,mc.lm_UNDERB,0.5924042623899715,0.6542607680176618,0.6215469835602963
ds12,mc.lm_UNDERT,0.5878332640712762,0.6594212372068479,0.6210864346569916
ds12,mc.lm_UNDERTPhi,0.5819945678953915,0.6722794418430732,0.6234565368212407
ds12,mc.lm_OVERB,0.6040710630715546,0.6540871983070347,0.6278165067465161
ds12,mc.lm_OVERT,0.605306240954903,0.6504824426658894,0.6269228487623476
ds12,mc.lm_OVERTPhi,0.6049764490968379,0.6501113436041165,0.626518984071832
ds12,mc.lm_SMOTEB,0.5591233731836105,0.682725686304447,0.6144097254887876
ds12,mc.lm_SMOTET,0.5431698528358466,0.6918955973086662,0.6082295367394717
ds12,mc.lm_SMOTETPhi,0.5326437251015768,0.7014394118612085,0.6049989791971524
ds12,mc.svm,0.6040239727762429,0.5188879611477568,0.5570510980542484
ds12,mc.svm_UNDERB,0.4584486890717804,0.590639311129542,0.5156395711703015
ds12,mc.svm_UNDERT,0.46193698976164116,0.5971788810649077,0.5203019432211555
ds12,mc.svm_UNDERTPhi,0.46105075135106943,0.6061836757486192,0.5233342319857044
ds12,mc.svm_OVERB,0.49072980828939144,0.5883245220111821,0.5347398380140075
ds12,mc.svm_OVERT,0.5012175774442793,0.595153882309567,0.543539087087371
ds12,mc.svm_OVERTPhi,0.49640215732375886,0.5940883846061338,0.5403332505324697
ds12,mc.svm_SMOTEB,0.45516029081453796,0.6113837823135553,0.5215354446431841
ds12,mc.svm_SMOTET,0.44906029910469103,0.593757474093932,0.5108452698565389
ds12,mc.svm_SMOTETPhi,0.43863622549871645,0.6031487613667171,0.5073720045275799
ds12,mc.mars,0.550159887918539,0.5016286033021585,0.5202495412899154
ds12,mc.mars_UNDERB,0.5354175366974065,0.6172168589908447,0.5729000712269275
ds12,mc.mars_UNDERT,0.5326972345549185,0.6158357169265161,0.5708318783187034
ds12,mc.mars_UNDERTPhi,0.5382197641317461,0.6252069935048646,0.5777653457712766
ds12,mc.mars_OVERB,0.560182411589553,0.618298786052807,0.5874572873970204
ds12,mc.mars_OVERT,0.5654249561666662,0.624623561506964,0.593176047141252
ds12,mc.mars_OVERTPhi,0.5621369959362239,0.6222775718285998,0.590151848611688
ds12,mc.mars_SMOTEB,0.5292832379499949,0.6526233366999165,0.5839491708774563
ds12,mc.mars_SMOTET,0.5212824353098292,0.647140709665491,0.5768027980467619
ds12,mc.mars_SMOTETPhi,0.5086239819943406,0.6425947895029772,0.5673138327642345
ds12,mc.rf,0.4644004361570295,0.46583704579016255,0.444993614157469
ds12,mc.rf_UNDERB,0.5007880331355256,0.534539607801097,0.516204480969387
