workflow,model_family,strategy,variant_index,cost,gamma,un,ov,prec,rec,F1
mc.svm_UNDERTPhi7,svm,UNDERTPhi,7.0,10.0,0.01,0.2,,0.506057129957013,0.503508720508031,0.496657745691017
mc.svm_UNDERTPhi8,svm,UNDERTPhi,8.0,150.0,0.01,0.2,,0.440766926771074,0.524355751954676,0.48953602474827
mc.svm_UNDERTPhi9,svm,UNDERTPhi,9.0,300.0,0.01,0.2,,0.431858513416568,0.52314735260389,0.470404855045358
mc.svm_UNDERTPhi10,svm,UNDERTPhi,10.0,10.0,0.001,0.2,,0.591953436956797,0.448175567055549,0.508972247948121
mc.svm_UNDERTPhi11,svm,UNDERTPhi,11.0,150.0,0.001,0.2,,0.513438786155917,0.48910959126557,0.49668483750689
mc.svm_UNDERTPhi12,svm,UNDERTPhi,12.0,300.0,0.001,0.2,,0.507188230151717,0.49655822713769,0.503126131852565
mc.svm_UNDERTPhi13,svm,UNDERTPhi,13.0,10.0,0.01,0.4,,0.515684908299925,0.48574469756218,0.496132686579621
mc.svm_UNDERTPhi14,svm,UNDERTPhi,14.0,150.0,0.01,0.4,,0.456133252026407,0.524631281852603,0.485063858100622
mc.svm_UNDERTPhi15,svm,UNDERTPhi,15.0,300.0,0.01,0.4,,0.430023506163421,0.533238698508687,0.474278015496409
mc.svm_UNDERTPhi16,svm,UNDERTPhi,16.0,10.0,0.001,0.4,,0.325906160690573,0.443129216383907,0.250100808599435
mc.svm_UNDERTPhi17,svm,UNDERTPhi,17.0,150.0,0.001,0.4,,0.511732458697809,0.476593233982388,0.490796255953681
mc.svm_UNDERTPhi18,svm,UNDERTPhi,18.0,300.0,0.001,0.4,,0.523797165066319,0.481625921525728,0.498426741858955
mc.svm_UNDERTPhi19,svm,UNDERTPhi,19.0,10.0,0.01,0.6,,0.484002487637351,0.474560591374632,0.532792028265284
mc.svm_UNDERTPhi20,svm,UNDERTPhi,20.0,150.0,0.01,0.6,,0.459086552512085,0.511216047906056,0.484267367196785
mc.svm_UNDERTPhi21,svm,UNDERTPhi,21.0,300.0,0.01,0.6,,0.436202895465755,0.519428355095498,0.472341096706623
mc.svm_UNDERTPhi22,svm,UNDERTPhi,22.0,10.0,0.001,0.6,,1e-05,0.43754587771802,1.99995302941282e-05
mc.svm_UNDERTPhi23,svm,UNDERTPhi,23.0,150.0,0.001,0.6,,0.508365955807414,0.466768266484775,0.523287396871327
mc.svm_UNDERTPhi24,svm,UNDERTPhi,24.0,300.0,0.001,0.6,,0.573524723417306,0.470874073620003,0.542320663053129
mc.svm_UNDERTPhi25,svm,UNDERTPhi,25.0,10.0,0.01,0.8,,0.197146073201948,0.462991445342796,1.99995739081915e-05
mc.svm_UNDERTPhi26,svm,UNDERTPhi,26.0,150.0,0.01,0.8,,0.298440922733944,0.494543351677491,0.451290911199307
mc.svm_UNDERTPhi27,svm,UNDERTPhi,27.0,300.0,0.01,0.8,,0.433782516828533,0.502379649418648,0.452888490161393
mc.svm_UNDERTPhi28,svm,UNDERTPhi,28.0,10.0,0.001,0.8,,1e-05,0.42969805651243,1.99995310917934e-05
mc.svm_UNDERTPhi29,svm,UNDERTPhi,29.0,150.0,0.001,0.8,,0.0932977703241514,0.450208539835116,1.99995537334495e-05
mc.svm_UNDERTPhi30,svm,UNDERTPhi,30.0,300.0,0.001,0.8,,0.18264911043388,0.45339176904159,1.99995599041345e-05
mc.svm_OVERB1,svm,OVERB,1.0,10.0,0.01,,2.0,0.208906517282722,0.482041674914821,1.99995840346787e-05
mc.svm_OVERB2,svm,OVERB,2.0,150.0,0.01,,2.0,0.439896461163919,0.497082091524721,0.458391134425988
mc.svm_OVERB3,svm,OVERB,3.0,300.0,0.01,,2.0,0.39320056233768,0.500739674400957,0.423461787278484
mc.svm_OVERB4,svm,OVERB,4.0,10.0,0.001,,2.0,0.210081268071778,0.44900381906806,1.99995455028221e-05
mc.svm_OVERB5,svm,OVERB,5.0,150.0,0.001,,2.0,0.23817961522706,0.469344392761669,1.99995742929552e-05
mc.svm_OVERB6,svm,OVERB,6.0,300.0,0.001,,2.0,0.289061130769546,0.471066453290051,0.245353176101794
mc.svm_OVERB7,svm,OVERB,7.0,10.0,0.01,,3.0,0.512503609608631,0.488294314330312,0.518904864431061
mc.svm_OVERB8,svm,OVERB,8.0,150.0,0.01,,3.0,0.440893267457956,0.498045412527743,0.468480279052816
mc.svm_OVERB9,svm,OVERB,9.0,300.0,0.01,,3.0,0.429150669263875,0.499599970210871,0.460126782257277
mc.svm_OVERB10,svm,OVERB,10.0,10.0,0.001,,3.0,0.589530429451456,0.456809632093181,0.529078685326549
mc.svm_OVERB11,svm,OVERB,11.0,150.0,0.001,,3.0,0.555983165952043,0.479192019358506,0.53247705905997
mc.svm_OVERB12,svm,OVERB,12.0,300.0,0.001,,3.0,0.546629337552377,0.482190597869953,0.539159961861183
mc.svm_OVERB13,svm,OVERB,13.0,10.0,0.01,,5.0,0.507119774870377,0.501480427116964,0.493477340683588
mc.svm_OVERB14,svm,OVERB,14.0,150.0,0.01,,5.0,0.423000845844698,0.502162206208031,0.463622218196014
mc.svm_OVERB15,svm,OVERB,15.0,300.0,0.01,,5.0,0.420137979874682,0.501163530470732,0.455715030906175
mc.svm_OVERB16,svm,OVERB,16.0,10.0,0.001,,5.0,0.580036192511017,0.472270102388501,0.501553340802216
mc.svm_OVERB17,svm,OVERB,17.0,150.0,0.001,,5.0,0.565422462613728,0.496813294472772,0.522004281666468
mc.svm_OVERB18,svm,OVERB,18.0,300.0,0.001,,5.0,0.563280402979713,0.501743081509661,0.528565453603333
mc.svm_OVERB19,svm,OVERB,19.0,10.0,0.01,,10.0,0.443013298738569,0.513297362821197,0.480678957660077
mc.svm_OVERB20,svm,OVERB,20.0,150.0,0.01,,10.0,0.399949940736992,0.504637863433731,0.432687959835414
mc.svm_OVERB21,svm,OVERB,21.0,300.0,0.01,,10.0,0.394805339255915,0.501989069166679,0.437667013215307
mc.svm_OVERB22,svm,OVERB,22.0,10.0,0.001,,10.0,0.516579356645123,0.486728894075104,0.493907407243105
mc.svm_OVERB23,svm,OVERB,23.0,150.0,0.001,,10.0,0.526503660828966,0.510405390956933,0.511461404074639
mc.svm_OVERB24,svm,OVERB,24.0,300.0,0.001,,10.0,0.50462223665294,0.513163106767712,0.512147185889323
mc.svm_OVERT1,svm,OVERT,1.0,10.0,0.01,,2.0,0.205403090736593,0.47675251503767,1.99995885767105e-05
mc.svm_OVERT2,svm,OVERT,2.0,150.0,0.01,,2.0,0.416201066146003,0.498135605028328,0.443512274889952
mc.svm_OVERT3,svm,OVERT,3.0,300.0,0.01,,2.0,0.375868267838009,0.499099118100356,0.420794888080918
mc.svm_OVERT4,svm,OVERT,4.0,10.0,0.001,,2.0,0.361510703450105,0.448647976418339,0.2108020245125
mc.svm_OVERT5,svm,OVERT,5.0,150.0,0.001,,2.0,0.33332896311506,0.464744202920541,0.204688445565768
mc.svm_OVERT6,svm,OVERT,6.0,300.0,0.001,,2.0,0.223883888720275,0.468318054687497,1.99995748590753e-05
mc.svm_OVERT7,svm,OVERT,7.0,10.0,0.01,,3.0,0.243635113096325,0.487397073996215,0.213941588900165
mc.svm_OVERT8,svm,OVERT,8.0,150.0,0.01,,3.0,0.356071533525694,0.494785412317339,0.418233083969574
mc.svm_OVERT9,svm,OVERT,9.0,300.0,0.01,,3.0,0.366207398661437,0.498751129133313,0.421232843608819
mc.svm_OVERT10,svm,OVERT,10.0,10.0,0.001,,3.0,0.552389882977574,0.464886543711752,0.526687063826875
mc.svm_OVERT11,svm,OVERT,11.0,150.0,0.001,,3.0,0.414085217007628,0.477973975822731,0.518891595667572
mc.svm_OVERT12,svm,OVERT,12.0,300.0,0.001,,3.0,0.340862099834789,0.479740337973621,0.500963346394346
mc.svm_OVERT13,svm,OVERT,13.0,10.0,0.01,,5.0,0.365068768404846,0.498992223596054,0.506830786235183
mc.svm_OVERT14,svm,OVERT,14.0,150.0,0.01,,5.0,0.418583220819774,0.505073731078859,0.44259716810336
mc.svm_OVERT15,svm,OVERT,15.0,300.0,0.01,,5.0,0.407829510726477,0.502668463012861,0.455859389671572
mc.svm_OVERT16,svm,OVERT,16.0,10.0,0.001,,5.0,0.574232944400524,0.478043801907501,0.515694954256774
mc.svm_OVERT17,svm,OVERT,17.0,150.0,0.001,,5.0,0.557071722751389,0.493643922673836,0.513260426124303
mc.svm_OVERT18,svm,OVERT,18.0,300.0,0.001,,5.0,0.564478974635808,0.496537090809036,0.526076336605143
mc.svm_OVERT19,svm,OVERT,19.0,10.0,0.01,,10.0,0.517527227673062,0.508131626953854,0.506720019082088
mc.svm_OVERT20,svm,OVERT,20.0,150.0,0.01,,10.0,0.406449270838877,0.511326960293038,0.449313865392487
mc.svm_OVERT21,svm,OVERT,21.0,300.0,0.01,,10.0,0.384055133368642,0.501126358715884,0.424873403140479
mc.svm_OVERT22,svm,OVERT,22.0,10.0,0.001,,10.0,0.536482693878032,0.47877260527392,0.500098697600597
mc.svm_OVERT23,svm,OVERT,23.0,150.0,0.001,,10.0,0.534072082573506,0.502294649105798,0.519634678853826
mc.svm_OVERT24,svm,OVERT,24.0,300.0,0.001,,10.0,0.521677120906564,0.509466995670569,0.5193412828621
mc.svm_OVERTPhi1,svm,OVERTPhi,1.0,10.0,0.01,,2.0,0.201681424947009,0.47769967630013,1.999958822632e-05
mc.svm_OVERTPhi2,svm,OVERTPhi,2.0,150.0,0.01,,2.0,0.409946361230089,0.499156006926131,0.440781281201877
mc.svm_OVERTPhi3,svm,OVERTPhi,3.0,300.0,0.01,,2.0,0.372165889081436,0.499828929300128,0.407364751546454
mc.svm_OVERTPhi4,svm,OVERTPhi,4.0,10.0,0.001,,2.0,0.255956337806068,0.449269218318051,1.99995522262184e-05
mc.svm_OVERTPhi5,svm,OVERTPhi,5.0,150.0,0.001,,2.0,0.322270457304442,0.465732912604876,0.209190858999699
mc.svm_OVERTPhi6,svm,OVERTPhi,6.0,300.0,0.001,,2.0,0.231935638345453,0.470466209351165,1.99995761767929e-05
mc.svm_OVERTPhi7,svm,OVERTPhi,7.0,10.0,0.01,,3.0,0.186469037260928,0.488775037735724,1.99995951004768e-05
mc.svm_OVERTPhi8,svm,OVERTPhi,8.0,150.0,0.01,,3.0,0.355930847938073,0.496312939861854,0.431130525895822
mc.svm_OVERTPhi9,svm,OVERTPhi,9.0,300.0,0.01,,3.0,0.362796134593876,0.499188215979354,0.417362993249669
mc.svm_OVERTPhi10,svm,OVERTPhi,10.0,10.0,0.001,,3.0,0.609078962220646,0.464955265575231,0.538293335914199
mc.svm_OVERTPhi11,svm,OVERTPhi,11.0,150.0,0.001,,3.0,0.363424526585605,0.476605469159112,0.507892940268346
mc.svm_OVERTPhi12,svm,OVERTPhi,12.0,300.0,0.001,,3.0,0.275659388231631,0.479897451832871,0.210746444424465
mc.svm_OVERTPhi13,svm,OVERTPhi,13.0,10.0,0.01,,5.0,0.369395663589807,0.498736250515593,0.509207596942676
