metric,strategy,model_family,tau,p_value,p_holm
F1,OVERTPhi,rpart,0.021081234617399,0.0006999300069993001,
F1,SMOTEB,rpart,0.020893247722542523,0.0014998500149985001,
F1,SMOTET,rpart,0.01642521061512704,0.0065993400659934,
F1,SMOTETPhi,rpart,0.02112717555964297,0.0007999200079992001,
F1,UNDERB,rpart,0.022443255151663132,0.00019998000199980003,
F1,UNDERT,rpart,0.022309244068686552,0.00029997000299970003,
F1,UNDERTPhi,rpart,0.025887167360213514,9.999000099990002e-05,
SERA_log,OVERB,pooled,0.06978070565242545,0.018198180181981802,0.09099090090990901
SERA_log,OVERT,pooled,0.0645018247484801,0.027697230276972302,0.11078892110788921
SERA_log,OVERTPhi,pooled,0.07249053535304165,0.0110988901109889,0.0665933406659334
SERA_log,SMOTEB,pooled,0.17251365469124483,9.999000099990002e-05,0.0008999100089991002
SERA_log,SMOTET,pooled,0.2203534892497028,9.999000099990002e-05,0.0008999100089991002
SERA_log,SMOTETPhi,pooled,0.2035638228226218,9.999000099990002e-05,0.0008999100089991002
SERA_log,UNDERB,pooled,0.04691175413201999,0.1146885311468853,0.23367663233676633
SERA_log,UNDERT,pooled,0.05257164084363955,0.07789221077892211,0.23367663233676633
SERA_log,UNDERTPhi,pooled,0.04068049994347291,0.1720827917208279,0.23367663233676633
SERA_log,OVERB,lm,-0.042742399733935545,0.2743725627437256,
SERA_log,OVERT,lm,-0.022948987799999192,0.5509449055094491,
SERA_log,OVERTPhi,lm,-0.021608764259878864,0.5753424657534246,
SERA_log,SMOTEB,lm,0.05183106645877007,0.18168183181681832,
SERA_log,SMOTET,lm,0.14822683908378317,0.00039996000399960006,
SERA_log,SMOTETPhi,lm,0.12951843166972482,0.0004999500049995,
SERA_log,UNDERB,lm,0.00884397879829727,0.8147185281471853,
SERA_log,UNDERT,lm,0.026620778999283105,0.4851514848515148,
SERA_log,UNDERTPhi,lm,0.0015984255046894492,0.9689031096890312,
SERA_log,OVERB,svm,0.05710325327427466,0.24837516248375163,
SERA_log,OVERT,svm,0.08251757791058159,0.09009099090090991,
SERA_log,OVERTPhi,svm,0.08333582028746356,0.0877912208779122,
SERA_log,SMOTEB,svm,0.16060049878538188,0.0008999100089991,
SERA_log,SMOTET,svm,0.23278988639015163,9.999000099990002e-05,
SERA_log,SMOTETPhi,svm,0.22664204500489604,9.999000099990002e-05,
SERA_log,UNDERB,svm,0.024626770834304413,0.6156384361563844,
SERA_log,UNDERT,svm,0.0392815880705573,0.4263573642635736,
SERA_log,UNDERTPhi,svm,0.03503834654102774,0.48055194480551944,
SERA_log,OVERB,mars,0.2673096277864248,0.014498550144985502,
SERA_log,OVERT,mars,0.20134338781883382,0.08049195080491951,
SERA_log,OVERTPhi,mars,0.24150667232862055,0.030096990300969902,
SERA_log,SMOTEB,mars,0.36066814799719304,0.00019998000199980003,
SERA_log,SMOTET,mars,0.36606363332777214,0.0004999500049995,
SERA_log,SMOTETPhi,mars,0.36617445164012147,0.0005999400059994001,
SERA_log,UNDERB,mars,0.023887330325220713,0.8471152884711529,
SERA_log,UNDERT,mars,0.027970015692860516,0.8168183181681832,
SERA_log,UNDERTPhi,mars,0.02134141813671618,0.8575142485751425,
SERA_log,OVERB,rf,-0.0009672659088009371,0.9827017298270173,
SERA_log,OVERT,rf,0.0007672079022696913,0.9866013398660134,
SERA_log,OVERTPhi,rf,0.0008569466922472909,0.9846015398460154,
SERA_log,SMOTEB,rf,0.04538438621383334,0.3758624137586241,
SERA_log,SMOTET,rf,0.08508597106053528,0.05699430056994301,
SERA_log,SMOTETPhi,rf,0.032794226742973075,0.5228477152284772,
SERA_log,UNDERB,rf,-0.0352211002553167,0.49125087491250874,
SERA_log,UNDERT,rf,-0.03467517062236454,0.5061493850614939,
SERA_log,UNDERTPhi,rf,-0.04830672957789213,0.34756524347565243,
SERA_log,OVERB,rpart,0.06820031284416428,0.22397760223977603,
SERA_log,OVERT,rpart,0.0608299379107146,0.27947205279472054,
SERA_log,OVERTPhi,rpart,0.05836200171675571,0.3040695930406959,
SERA_log,SMOTEB,rpart,0.24408417400104582,9.999000099990002e-05,
SERA_log,SMOTET,rpart,0.2696011163862718,9.999000099990002e-05,
SERA_log,SMOTETPhi,rpart,0.2626899590553936,9.999000099990002e-05,
SERA_log,UNDERB,rpart,0.21242179095759423,9.999000099990002e-05,
SERA_log,UNDERT,rpart,0.20366099207786137,9.999000099990002e-05,
SERA_log,UNDERTPhi,rpart,0.1937310391128233,0.00039996000399960006,
